match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR,match_id
Netherlands Vs U.A.E.,U.A.E.,6,Basil Hameed,Out,4,4,1,0,100,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,7,Chundangapoyil Rizwan(c),Out,1,2,0,0,50,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,8,Aayan Afzal Khan,Out,5,7,0,0,71.42,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,9,Karthik Meiyappan,Not Out,0,0,0,0,-,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,10,Junaid Siddique,Not Out,0,1,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,1,Vikramjit Singh,Out,10,7,2,0,142.85,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,2,Max O'Dowd,Out,23,18,3,1,127.77,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,3,Bas de Leede,Out,14,18,1,0,77.77,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,4,Colin Ackermann,Out,17,19,1,0,89.47,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,5,Tom Cooper,Out,8,16,0,0,50,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,6,Scott Edwards(c)†,Not Out,16,19,0,0,84.21,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,7,Roelof van der Merwe,Out,0,2,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,8,Tim Pringle,Out,15,16,0,0,93.75,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,9,Logan van Beek,Not Out,4,4,0,0,100,T20I # 1825
Scotland Vs West Indies,Scotland,1,George Munsey,Not Out,66,53,9,0,124.52,T20I # 1826
Scotland Vs West Indies,Scotland,2,Michael Jones,Out,20,17,3,0,117.64,T20I # 1826
Scotland Vs West Indies,Scotland,3,Matthew Cross†,Out,3,5,0,0,60,T20I # 1826
Scotland Vs West Indies,Scotland,4,Richie Berrington(c),Out,16,14,0,1,114.28,T20I # 1826
Scotland Vs West Indies,Scotland,5,Calum MacLeod,Out,23,14,4,0,164.28,T20I # 1826
Scotland Vs West Indies,Scotland,6,Michael Leask,Out,4,6,0,0,66.66,T20I # 1826
Scotland Vs West Indies,Scotland,7,Chris Greaves,Not Out,16,11,2,0,145.45,T20I # 1826
Scotland Vs West Indies,West Indies,1,Kyle Mayers,Out,20,13,3,1,153.84,T20I # 1826
Scotland Vs West Indies,West Indies,2,Evin Lewis,Out,14,13,1,1,107.69,T20I # 1826
Scotland Vs West Indies,West Indies,3,Brandon King,Out,17,15,3,0,113.33,T20I # 1826
Scotland Vs West Indies,West Indies,4,Nicholas Pooran(c)†,Out,5,9,0,0,55.55,T20I # 1826
Scotland Vs West Indies,West Indies,5,Shamarh Brooks,Out,4,9,0,0,44.44,T20I # 1826
Scotland Vs West Indies,West Indies,6,Rovman Powell,Out,5,6,0,0,83.33,T20I # 1826
Scotland Vs West Indies,West Indies,7,Jason Holder,Out,38,33,4,1,115.15,T20I # 1826
Scotland Vs West Indies,West Indies,8,Akeal Hosein,Out,1,1,0,0,100,T20I # 1826
Scotland Vs West Indies,West Indies,9,Alzarri Joseph,Out,0,1,0,0,0,T20I # 1826
Scotland Vs West Indies,West Indies,10,Odean Smith,Out,5,8,0,0,62.5,T20I # 1826
Scotland Vs West Indies,West Indies,11,Obed McCoy,Not Out,2,3,0,0,66.66,T20I # 1826
Ireland Vs Zimbabwe,Zimbabwe,1,Regis Chakabva†,Out,0,2,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),Out,9,12,1,0,75,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,3,Wessly Madhevere,Out,22,19,4,0,115.78,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,4,Sean Williams,Out,12,11,0,1,109.09,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,Out,82,48,5,5,170.83,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,6,Milton Shumba,Out,16,14,1,0,114.28,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,7,Ryan Burl,Out,1,4,0,0,25,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,8,Luke Jongwe,Not Out,20,10,3,0,200,T20I # 1828
Ireland Vs Zimbabwe,Ireland,1,Paul Stirling,Out,0,2,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,2,Andy Balbirnie(c),Out,3,4,0,0,75,T20I # 1828
Ireland Vs Zimbabwe,Ireland,3,Lorcan Tucker†,Out,11,11,2,0,100,T20I # 1828
Ireland Vs Zimbabwe,Ireland,4,Harry Tector,Out,1,4,0,0,25,T20I # 1828
Ireland Vs Zimbabwe,Ireland,5,Curtis Campher,Out,27,22,1,0,122.72,T20I # 1828
Ireland Vs Zimbabwe,Ireland,6,George Dockrell,Out,24,20,3,0,120,T20I # 1828
Ireland Vs Zimbabwe,Ireland,7,Gareth Delany,Out,24,20,1,1,120,T20I # 1828
Ireland Vs Zimbabwe,Ireland,8,Mark Adair,Out,9,10,0,1,90,T20I # 1828
Ireland Vs Zimbabwe,Ireland,9,Simi Singh,Out,0,1,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,10,Barry McCarthy,Not Out,22,16,1,2,137.5,T20I # 1828
Ireland Vs Zimbabwe,Ireland,11,Josh Little,Not Out,7,11,1,0,63.63,T20I # 1828
Namibia Vs Netherlands,Namibia,1,Michael van Lingen,Out,20,19,3,0,105.26,T20I # 1830
Namibia Vs Netherlands,Namibia,2,Divan la Cock,Out,0,2,0,0,0,T20I # 1830
Namibia Vs Netherlands,Namibia,3,Stephan Baard,Out,19,22,0,0,86.36,T20I # 1830
Namibia Vs Netherlands,Namibia,4,Jan Nicol Loftie-Eaton,Out,0,2,0,0,0,T20I # 1830
Namibia Vs Netherlands,Namibia,5,Jan Frylinck,Out,43,48,1,1,89.58,T20I # 1830
Namibia Vs Netherlands,Namibia,6,Gerhard Erasmus(c),Out,16,18,0,0,88.88,T20I # 1830
Namibia Vs Netherlands,Namibia,7,David Wiese,Not Out,11,5,1,0,220,T20I # 1830
Namibia Vs Netherlands,Namibia,8,JJ Smit,Not Out,5,4,1,0,125,T20I # 1830
Namibia Vs Netherlands,Netherlands,1,Max O'Dowd,Out,35,35,1,1,100,T20I # 1830
Namibia Vs Netherlands,Netherlands,2,Vikramjit Singh,Out,39,31,3,2,125.8,T20I # 1830
Namibia Vs Netherlands,Netherlands,3,Bas de Leede,Not Out,30,30,2,0,100,T20I # 1830
Namibia Vs Netherlands,Netherlands,4,Tom Cooper,Out,6,6,1,0,100,T20I # 1830
Namibia Vs Netherlands,Netherlands,5,Colin Ackermann,Out,0,2,0,0,0,T20I # 1830
Namibia Vs Netherlands,Netherlands,6,Scott Edwards(c)†,Out,1,5,0,0,20,T20I # 1830
Namibia Vs Netherlands,Netherlands,7,Tim Pringle,Not Out,8,9,0,0,88.88,T20I # 1830
Sri Lanka Vs U.A.E.,Sri Lanka,1,Pathum Nissanka,Out,74,60,6,2,123.33,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,2,Kusal Mendis†,Out,18,13,2,0,138.46,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,3,Dhananjaya de Silva,Out,33,21,3,1,157.14,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,4,Bhanuka Rajapaksa,Out,5,8,0,0,62.5,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,5,Charith Asalanka,Out,0,1,0,0,0,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,6,Dasun Shanaka(c),Out,0,1,0,0,0,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,7,Wanindu Hasaranga de Silva,Out,2,3,0,0,66.66,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,8,Chamika Karunaratne,Out,8,11,1,0,72.72,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,9,Pramod Madushan,Not Out,1,1,0,0,100,T20I # 1832
Sri Lanka Vs U.A.E.,Sri Lanka,10,Dushmantha Chameera,Not Out,1,1,0,0,100,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,1,Muhammad Waseem,Out,2,4,0,0,50,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,2,Chirag Suri,Out,14,19,3,0,73.68,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,3,Aryan Lakra,Out,1,3,0,0,33.33,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,4,Chundangapoyil Rizwan(c),Out,1,3,0,0,33.33,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,5,Vriitya Aravind†,Out,9,18,1,0,50,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,6,Basil Hameed,Out,2,6,0,0,33.33,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,7,Aayan Afzal Khan,Out,19,21,1,0,90.47,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,8,Kashif Daud,Out,0,4,0,0,0,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,9,Karthik Meiyappan,Out,4,8,0,0,50,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,10,Junaid Siddique,Out,18,16,1,1,112.5,T20I # 1832
Sri Lanka Vs U.A.E.,U.A.E.,11,Zahoor Khan,Not Out,1,1,0,0,100,T20I # 1832
Ireland Vs Scotland,Scotland,1,George Munsey,Out,1,2,0,0,50,T20I # 1833
Ireland Vs Scotland,Scotland,2,Michael Jones,Out,86,55,6,4,156.36,T20I # 1833
Ireland Vs Scotland,Scotland,3,Matthew Cross†,Out,28,21,5,0,133.33,T20I # 1833
Ireland Vs Scotland,Scotland,4,Richie Berrington(c),Out,37,27,3,1,137.03,T20I # 1833
Ireland Vs Scotland,Scotland,5,Michael Leask,Not Out,17,13,2,0,130.76,T20I # 1833
Ireland Vs Scotland,Scotland,6,Calum MacLeod,Out,0,3,0,0,0,T20I # 1833
Ireland Vs Scotland,Ireland,1,Paul Stirling,Out,8,10,1,0,80,T20I # 1833
Ireland Vs Scotland,Ireland,2,Andy Balbirnie(c),Out,14,12,2,0,116.66,T20I # 1833
Ireland Vs Scotland,Ireland,3,Lorcan Tucker†,Out,20,17,2,0,117.64,T20I # 1833
Ireland Vs Scotland,Ireland,4,Harry Tector,Out,14,16,1,0,87.5,T20I # 1833
Ireland Vs Scotland,Ireland,5,Curtis Campher,Not Out,72,32,7,2,225,T20I # 1833
Ireland Vs Scotland,Ireland,6,George Dockrell,Not Out,39,27,4,1,144.44,T20I # 1833
West Indies Vs Zimbabwe,West Indies,1,Kyle Mayers,Out,13,12,2,0,108.33,T20I # 1834
West Indies Vs Zimbabwe,West Indies,2,Johnson Charles,Out,45,36,3,2,125,T20I # 1834
West Indies Vs Zimbabwe,West Indies,3,Evin Lewis,Out,15,18,1,0,83.33,T20I # 1834
West Indies Vs Zimbabwe,West Indies,4,Nicholas Pooran(c)†,Out,7,9,0,0,77.77,T20I # 1834
West Indies Vs Zimbabwe,West Indies,5,Rovman Powell,Out,28,21,1,2,133.33,T20I # 1834
West Indies Vs Zimbabwe,West Indies,6,Shamarh Brooks,Out,0,3,0,0,0,T20I # 1834
West Indies Vs Zimbabwe,West Indies,7,Jason Holder,Out,4,3,0,0,133.33,T20I # 1834
West Indies Vs Zimbabwe,West Indies,8,Akeal Hosein,Not Out,23,18,2,0,127.77,T20I # 1834
West Indies Vs Zimbabwe,West Indies,9,Odean Smith,Not Out,1,2,0,0,50,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,Out,27,19,3,1,142.1,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,2,Regis Chakabva(c)†,Out,13,9,3,0,144.44,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,3,Tony Munyonga,Out,2,6,0,0,33.33,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,4,Sean Williams,Out,1,2,0,0,50,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,Out,14,8,1,1,175,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,6,Milton Shumba,Out,2,9,0,0,22.22,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,7,Ryan Burl,Out,17,19,3,0,89.47,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,8,Luke Jongwe,Out,29,22,3,1,131.81,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,Out,2,6,0,0,33.33,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,Out,3,8,0,0,37.5,T20I # 1834
West Indies Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,Not Out,1,4,0,0,25,T20I # 1834
Netherlands Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,Out,14,21,0,1,66.66,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,2,Kusal Mendis†,Out,79,44,5,5,179.54,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,Out,0,1,0,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,Out,31,30,3,0,103.33,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,Out,19,13,2,0,146.15,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),Out,8,5,0,1,160,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,Not Out,5,4,0,0,125,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,Not Out,2,2,0,0,100,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,1,Max O'Dowd,Not Out,71,53,6,3,133.96,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,2,Vikramjit Singh,Out,7,14,0,0,50,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,3,Bas de Leede,Out,14,10,1,1,140,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,4,Colin Ackermann,Out,0,1,0,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,5,Tom Cooper,Out,16,19,2,0,84.21,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,6,Scott Edwards(c)†,Out,21,15,3,0,140,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,7,Tim Pringle,Out,2,4,0,0,50,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,8,Timm van der Gugten,Out,0,1,0,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,9,Fred Klaassen,Out,3,3,0,0,100,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,10,Paul van Meekeren,Out,0,0,0,0,-,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,11,Roelof van der Merwe,Not Out,0,1,0,0,0,T20I # 1835
Namibia Vs U.A.E.,U.A.E.,1,Muhammad Waseem,Out,50,41,1,3,121.95,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,2,Vriitya Aravind†,Out,21,32,2,0,65.62,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,3,Chundangapoyil Rizwan(c),Not Out,43,29,3,1,148.27,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,4,Alishan Sharafu,Out,4,4,0,0,100,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,5,Basil Hameed,Not Out,25,14,2,2,178.57,T20I # 1836
Namibia Vs U.A.E.,Namibia,1,Michael van Lingen,Out,10,8,1,0,125,T20I # 1836
Namibia Vs U.A.E.,Namibia,2,Stephan Baard,Out,4,6,1,0,66.66,T20I # 1836
Namibia Vs U.A.E.,Namibia,3,Jan Nicol Loftie-Eaton,Out,1,6,0,0,16.66,T20I # 1836
Namibia Vs U.A.E.,Namibia,4,Gerhard Erasmus(c),Out,16,18,2,0,88.88,T20I # 1836
Namibia Vs U.A.E.,Namibia,5,Jan Frylinck,Out,14,17,1,0,82.35,T20I # 1836
Namibia Vs U.A.E.,Namibia,6,JJ Smit,Out,3,3,0,0,100,T20I # 1836
Namibia Vs U.A.E.,Namibia,7,David Wiese,Out,55,36,3,3,152.77,T20I # 1836
Namibia Vs U.A.E.,Namibia,8,Zane Green†,Out,2,3,0,0,66.66,T20I # 1836
Namibia Vs U.A.E.,Namibia,9,Ruben Trumpelmann,Not Out,25,24,1,1,104.16,T20I # 1836
Namibia Vs U.A.E.,Namibia,10,Bernard Scholtz,Not Out,1,1,0,0,100,T20I # 1836
Ireland Vs West Indies,West Indies,1,Kyle Mayers,Out,1,5,0,0,20,T20I # 1837
Ireland Vs West Indies,West Indies,2,Johnson Charles,Out,24,18,3,1,133.33,T20I # 1837
Ireland Vs West Indies,West Indies,3,Evin Lewis,Out,13,18,0,0,72.22,T20I # 1837
Ireland Vs West Indies,West Indies,4,Brandon King,Not Out,62,48,6,1,129.16,T20I # 1837
Ireland Vs West Indies,West Indies,5,Nicholas Pooran(c)†,Out,13,11,0,1,118.18,T20I # 1837
Ireland Vs West Indies,West Indies,6,Rovman Powell,Out,6,8,1,0,75,T20I # 1837
Ireland Vs West Indies,West Indies,7,Odean Smith,Not Out,19,12,1,2,158.33,T20I # 1837
Ireland Vs West Indies,Ireland,1,Paul Stirling,Not Out,66,48,6,2,137.5,T20I # 1837
Ireland Vs West Indies,Ireland,2,Andy Balbirnie(c),Out,37,23,3,3,160.86,T20I # 1837
Ireland Vs West Indies,Ireland,3,Lorcan Tucker†,Not Out,45,35,2,2,128.57,T20I # 1837
Scotland Vs Zimbabwe,Scotland,1,George Munsey,Out,54,51,7,0,105.88,T20I # 1838
Scotland Vs Zimbabwe,Scotland,2,Michael Jones,Out,4,5,1,0,80,T20I # 1838
Scotland Vs Zimbabwe,Scotland,3,Matthew Cross†,Out,1,7,0,0,14.28,T20I # 1838
Scotland Vs Zimbabwe,Scotland,4,Richie Berrington(c),Out,13,15,0,0,86.66,T20I # 1838
Scotland Vs Zimbabwe,Scotland,5,Calum MacLeod,Out,25,26,1,0,96.15,T20I # 1838
Scotland Vs Zimbabwe,Scotland,6,Michael Leask,Out,12,9,2,0,133.33,T20I # 1838
Scotland Vs Zimbabwe,Scotland,7,Chris Greaves,Not Out,3,7,0,0,42.85,T20I # 1838
Scotland Vs Zimbabwe,Scotland,8,Josh Davey,Not Out,4,3,0,0,133.33,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,1,Regis Chakabva†,Out,4,3,1,0,133.33,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),Out,58,54,6,0,107.4,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,3,Wessly Madhevere,Out,0,5,0,0,0,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,4,Sean Williams,Out,7,12,0,0,58.33,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,Out,40,23,3,2,173.91,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,6,Milton Shumba,Not Out,11,11,0,0,100,T20I # 1838
Scotland Vs Zimbabwe,Zimbabwe,7,Ryan Burl,Not Out,9,5,1,0,180,T20I # 1838
Australia Vs New Zealand,New Zealand,1,Finn Allen,Out,42,16,5,3,262.5,T20I # 1839
Australia Vs New Zealand,New Zealand,2,Devon Conway†,Not Out,92,58,7,2,158.62,T20I # 1839
Australia Vs New Zealand,New Zealand,3,Kane Williamson(c),Out,23,23,1,1,100,T20I # 1839
Australia Vs New Zealand,New Zealand,4,Glenn Phillips,Out,12,10,2,0,120,T20I # 1839
Australia Vs New Zealand,New Zealand,5,James Neesham,Not Out,26,13,0,2,200,T20I # 1839
Australia Vs New Zealand,Australia,1,David Warner,Out,5,6,1,0,83.33,T20I # 1839
Australia Vs New Zealand,Australia,2,Aaron Finch(c),Out,13,11,1,1,118.18,T20I # 1839
Australia Vs New Zealand,Australia,3,Mitchell Marsh,Out,16,12,2,1,133.33,T20I # 1839
Australia Vs New Zealand,Australia,4,Glenn Maxwell,Out,28,20,3,1,140,T20I # 1839
Australia Vs New Zealand,Australia,5,Marcus Stoinis,Out,7,14,0,0,50,T20I # 1839
Australia Vs New Zealand,Australia,6,Tim David,Out,11,8,0,1,137.5,T20I # 1839
Australia Vs New Zealand,Australia,7,Matthew Wade†,Out,2,4,0,0,50,T20I # 1839
Australia Vs New Zealand,Australia,8,Pat Cummins,Out,21,18,2,1,116.66,T20I # 1839
Australia Vs New Zealand,Australia,9,Mitchell Starc,Out,4,7,0,0,57.14,T20I # 1839
Australia Vs New Zealand,Australia,10,Adam Zampa,Out,0,2,0,0,0,T20I # 1839
Australia Vs New Zealand,Australia,11,Josh Hazlewood,Not Out,1,1,0,0,100,T20I # 1839
Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,Out,7,17,1,0,41.17,T20I # 1840
Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbaz†,Out,10,9,0,1,111.11,T20I # 1840
Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran,Out,32,32,3,1,100,T20I # 1840
Afghanistan Vs England,Afghanistan,4,Usman Ghani,Out,30,30,3,0,100,T20I # 1840
Afghanistan Vs England,Afghanistan,5,Najibullah Zadran,Out,13,11,0,1,118.18,T20I # 1840
Afghanistan Vs England,Afghanistan,6,Mohammad Nabi(c),Out,3,5,0,0,60,T20I # 1840
Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai,Out,8,6,1,0,133.33,T20I # 1840
Afghanistan Vs England,Afghanistan,8,Rashid Khan,Out,0,1,0,0,0,T20I # 1840
Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,Out,0,1,0,0,0,T20I # 1840
Afghanistan Vs England,Afghanistan,10,Fareed Ahmad,Not Out,2,4,0,0,50,T20I # 1840
Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,Out,0,2,0,0,0,T20I # 1840
Afghanistan Vs England,England,1,Jos Buttler(c)†,Out,18,18,3,0,100,T20I # 1840
Afghanistan Vs England,England,2,Alex Hales,Out,19,20,0,1,95,T20I # 1840
Afghanistan Vs England,England,3,Dawid Malan,Out,18,30,0,0,60,T20I # 1840
Afghanistan Vs England,England,4,Ben Stokes,Out,2,4,0,0,50,T20I # 1840
Afghanistan Vs England,England,5,Liam Livingstone,Not Out,29,21,3,0,138.09,T20I # 1840
Afghanistan Vs England,England,6,Harry Brook,Out,7,6,0,0,116.66,T20I # 1840
Afghanistan Vs England,England,7,Moeen Ali,Not Out,8,10,0,0,80,T20I # 1840
Ireland Vs Sri Lanka,Ireland,1,Paul Stirling,Out,34,25,4,1,136,T20I # 1841
Ireland Vs Sri Lanka,Ireland,2,Andy Balbirnie(c),Out,1,5,0,0,20,T20I # 1841
Ireland Vs Sri Lanka,Ireland,3,Lorcan Tucker†,Out,10,11,1,0,90.9,T20I # 1841
Ireland Vs Sri Lanka,Ireland,4,Harry Tector,Out,45,42,2,1,107.14,T20I # 1841
Ireland Vs Sri Lanka,Ireland,5,Curtis Campher,Out,2,4,0,0,50,T20I # 1841
Ireland Vs Sri Lanka,Ireland,6,George Dockrell,Out,14,16,0,0,87.5,T20I # 1841
Ireland Vs Sri Lanka,Ireland,7,Gareth Delany,Out,9,6,1,0,150,T20I # 1841
Ireland Vs Sri Lanka,Ireland,8,Mark Adair,Out,0,1,0,0,0,T20I # 1841
Ireland Vs Sri Lanka,Ireland,9,Simi Singh,Not Out,7,8,1,0,87.5,T20I # 1841
Ireland Vs Sri Lanka,Ireland,10,Barry McCarthy,Not Out,2,2,0,0,100,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,1,Kusal Mendis†,Not Out,68,43,5,3,158.13,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,2,Dhananjaya de Silva,Out,31,25,2,1,124,T20I # 1841
Ireland Vs Sri Lanka,Sri Lanka,3,Charith Asalanka,Not Out,31,22,2,0,140.9,T20I # 1841
India Vs Pakistan,Pakistan,1,Mohammad Rizwan†,Out,4,12,1,0,33.33,T20I # 1842
India Vs Pakistan,Pakistan,2,Babar Azam(c),Out,0,1,0,0,0,T20I # 1842
India Vs Pakistan,Pakistan,3,Shan Masood,Not Out,52,42,5,0,123.8,T20I # 1842
India Vs Pakistan,Pakistan,4,Iftikhar Ahmed,Out,51,34,2,4,150,T20I # 1842
India Vs Pakistan,Pakistan,5,Shadab Khan,Out,5,6,1,0,83.33,T20I # 1842
India Vs Pakistan,Pakistan,6,Haider Ali,Out,2,4,0,0,50,T20I # 1842
India Vs Pakistan,Pakistan,7,Mohammad Nawaz,Out,9,6,2,0,150,T20I # 1842
India Vs Pakistan,Pakistan,8,Asif Ali,Out,2,3,0,0,66.66,T20I # 1842
India Vs Pakistan,Pakistan,9,Shaheen Shah Afridi,Out,16,8,1,1,200,T20I # 1842
India Vs Pakistan,Pakistan,10,Haris Rauf,Not Out,6,4,0,1,150,T20I # 1842
India Vs Pakistan,India,1,KL Rahul,Out,4,8,0,0,50,T20I # 1842
India Vs Pakistan,India,2,Rohit Sharma(c),Out,4,7,0,0,57.14,T20I # 1842
India Vs Pakistan,India,3,Virat Kohli,Not Out,82,53,6,4,154.71,T20I # 1842
India Vs Pakistan,India,4,Suryakumar Yadav,Out,15,10,2,0,150,T20I # 1842
India Vs Pakistan,India,5,Axar Patel,Out,2,3,0,0,66.66,T20I # 1842
India Vs Pakistan,India,6,Hardik Pandya,Out,40,37,1,2,108.1,T20I # 1842
India Vs Pakistan,India,7,Dinesh Karthik†,Out,1,2,0,0,50,T20I # 1842
India Vs Pakistan,India,8,Ravichandran Ashwin,Not Out,1,1,0,0,100,T20I # 1842
Bangladesh Vs Netherlands,Bangladesh,1,Najmul Hossain Shanto,Out,25,20,4,0,125,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,2,Soumya Sarkar,Out,14,14,2,0,100,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,3,Litton Das,Out,9,11,0,0,81.81,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,4,Shakib Al Hasan(c),Out,7,9,0,0,77.77,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,5,Afif Hossain,Out,38,27,2,2,140.74,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,6,Yasir Ali,Out,3,5,0,0,60,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,7,Nurul Hasan†,Out,13,18,0,0,72.22,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,8,Mosaddek Hossain,Not Out,20,12,2,1,166.66,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,9,Taskin Ahmed,Out,0,1,0,0,0,T20I # 1843
Bangladesh Vs Netherlands,Bangladesh,10,Hasan Mahmud,Not Out,0,3,0,0,0,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,1,Vikramjit Singh,Out,0,1,0,0,0,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,2,Max O'Dowd,Out,8,8,0,1,100,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,3,Bas de Leede,Out,0,1,0,0,0,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,4,Colin Ackermann,Out,62,48,6,2,129.16,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,5,Tom Cooper,Out,0,0,0,0,-,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,6,Scott Edwards(c)†,Out,16,24,1,0,66.66,T20I # 1843
Bangladesh Vs Netherlands,Netherlands,7,Tim Pringle,Out,1,6,0,0,16.66,T20I # 1843
